left_city,left_source,right_city,right_source,dist,cnt_in_group,left_city:1,left_source:1,right_city:1,right_source:1,dist:1,cnt_in_group:1,chamfer_dist
Sydney,dalle,Abu Dhabi,dalle,9.146467745304108,20,Abu Dhabi,dalle,Sydney,dalle,8.339181184768677,20,0.4371412232518196
Sydney,google,Abu Dhabi,dalle,14.255096107721329,30,Abu Dhabi,dalle,Sydney,google,7.746070921421051,20,0.4400233405828476
São Paulo,dalle,Abu Dhabi,dalle,9.11220371723175,20,Abu Dhabi,dalle,São Paulo,dalle,7.762348115444183,20,0.42186379581689837
São Paulo,google,Abu Dhabi,dalle,15.722069442272186,30,Abu Dhabi,dalle,São Paulo,google,8.657393366098404,20,0.4875892561674118
Taipei,dalle,Abu Dhabi,dalle,9.074846804141998,20,Abu Dhabi,dalle,Taipei,dalle,8.057772070169449,20,0.4283154718577862
Taipei,google,Abu Dhabi,dalle,15.36218124628067,30,Abu Dhabi,dalle,Taipei,google,8.565982937812805,20,0.4785632836818695
Tel Aviv,dalle,Abu Dhabi,dalle,9.527634859085083,20,Abu Dhabi,dalle,Tel Aviv,dalle,7.912126213312149,20,0.4359940268099308
Tel Aviv,google,Abu Dhabi,dalle,14.254105120897293,30,Abu Dhabi,dalle,Tel Aviv,google,7.8133440017700195,20,0.44134898245334625
Tokyo,dalle,Abu Dhabi,dalle,9.592795431613922,20,Abu Dhabi,dalle,Tokyo,dalle,8.713756144046783,20,0.45766378939151764
Tokyo,google,Abu Dhabi,dalle,16.115051984786987,30,Abu Dhabi,dalle,Tokyo,google,9.42772901058197,20,0.5108556199073792
Toronto,dalle,Abu Dhabi,dalle,8.644141554832458,20,Abu Dhabi,dalle,Toronto,dalle,8.249680072069168,20,0.42234554067254065
Toronto,google,Abu Dhabi,dalle,15.019967675209045,30,Abu Dhabi,dalle,Toronto,google,8.139383018016815,20,0.4631870138645172
Vienna,dalle,Abu Dhabi,dalle,9.288388162851334,20,Abu Dhabi,dalle,Vienna,dalle,8.958526015281677,20,0.4561728544533253
Vienna,google,Abu Dhabi,dalle,15.58245325088501,30,Abu Dhabi,dalle,Vienna,google,9.16710540652275,20,0.4949911731481552
Warsaw,dalle,Abu Dhabi,dalle,8.893562614917755,20,Abu Dhabi,dalle,Warsaw,dalle,8.322785913944244,20,0.43040871322155
Warsaw,google,Abu Dhabi,dalle,13.824319139122963,30,Abu Dhabi,dalle,Warsaw,google,8.270881578326225,20,0.44190401434898374
Zurich,dalle,Abu Dhabi,dalle,9.498405903577805,20,Abu Dhabi,dalle,Zurich,dalle,8.824956059455872,20,0.4580840490758419
Zurich,google,Abu Dhabi,dalle,14.727204233407974,30,Abu Dhabi,dalle,Zurich,google,8.071717202663422,20,0.4559784287214279
Abu Dhabi,dalle,Abu Dhabi,google,8.194107443094254,20,Abu Dhabi,google,Abu Dhabi,dalle,14.505182355642319,30,0.45398579597473143
Abu Dhabi,google,Abu Dhabi,google,12.735893100500107,30,Abu Dhabi,google,Abu Dhabi,google,12.735893100500107,30,0.42452977001667025
Almaty,dalle,Abu Dhabi,google,8.48228371143341,20,Abu Dhabi,google,Almaty,dalle,13.349504888057709,30,0.4366357719898224
Almaty,google,Abu Dhabi,google,12.239989042282104,30,Abu Dhabi,google,Almaty,google,14.18301448225975,30,0.4403833920756976
Amsterdam,dalle,Abu Dhabi,google,8.371408492326736,20,Abu Dhabi,google,Amsterdam,dalle,14.432228177785873,30,0.4560727334022522
Amsterdam,google,Abu Dhabi,google,13.133619606494904,30,Abu Dhabi,google,Amsterdam,google,14.485190570354462,30,0.4603135029474894
Athens,dalle,Abu Dhabi,google,8.448922961950302,20,Abu Dhabi,google,Athens,dalle,13.621436148881912,30,0.44140718221664427
Athens,google,Abu Dhabi,google,12.912635624408722,30,Abu Dhabi,google,Athens,google,13.398028641939163,30,0.43851107110579807
Auckland,dalle,Abu Dhabi,google,8.396721303462982,20,Abu Dhabi,google,Auckland,dalle,13.856811851263046,30,0.4450706630945206
Auckland,google,Abu Dhabi,google,12.519025027751923,30,Abu Dhabi,google,Auckland,google,12.930964142084122,30,0.4241664861639341
Bangkok,dalle,Abu Dhabi,google,8.661476165056229,20,Abu Dhabi,google,Bangkok,dalle,13.648493260145187,30,0.4461993885040283
Bangkok,google,Abu Dhabi,google,12.918234646320343,30,Abu Dhabi,google,Bangkok,google,13.066806137561798,30,0.43308401306470234
Barcelona,dalle,Abu Dhabi,google,8.744611203670502,20,Abu Dhabi,google,Barcelona,dalle,14.139809608459473,30,0.4576884162425995
Barcelona,google,Abu Dhabi,google,14.333976954221725,30,Abu Dhabi,google,Barcelona,google,13.90854150056839,30,0.4707086409131686
Beijing,dalle,Abu Dhabi,google,8.852498203516006,20,Abu Dhabi,google,Beijing,dalle,14.253722816705704,30,0.4621244204044342
Beijing,google,Abu Dhabi,google,13.581560105085373,30,Abu Dhabi,google,Beijing,google,13.332361876964569,30,0.44856536636749905
Berlin,dalle,Abu Dhabi,google,9.014303416013718,20,Abu Dhabi,google,Berlin,dalle,14.40570667386055,30,0.46840020179748537
Berlin,google,Abu Dhabi,google,13.86355435848236,33,Abu Dhabi,google,Berlin,google,13.302903562784195,30,0.43121361779788187
Bogota,dalle,Abu Dhabi,google,8.282090306282043,20,Abu Dhabi,google,Bogota,dalle,13.690208405256271,30,0.4394459742307663
Bogota,google,Abu Dhabi,google,13.481603801250458,30,Abu Dhabi,google,Bogota,google,13.829501003026962,30,0.4551850800712903
Brussels,dalle,Abu Dhabi,google,8.39505484700203,20,Abu Dhabi,google,Brussels,dalle,13.892766833305359,30,0.44575643360614775
Brussels,google,Abu Dhabi,google,12.93265175819397,30,Abu Dhabi,google,Brussels,google,13.776475459337234,30,0.44515212029218676
Bucharest,dalle,Abu Dhabi,google,8.498718917369843,20,Abu Dhabi,google,Bucharest,dalle,13.884811282157898,30,0.4476706039905548
Bucharest,google,Abu Dhabi,google,13.526759445667267,31,Abu Dhabi,google,Bucharest,google,13.514148116111755,30,0.44329356658654134
Budapest,dalle,Abu Dhabi,google,8.405451744794846,20,Abu Dhabi,google,Budapest,dalle,13.20484071969986,30,0.4322058492898941
Budapest,google,Abu Dhabi,google,13.043561309576035,30,Abu Dhabi,google,Budapest,google,13.281666368246078,30,0.43875379463036857
Buenos Aires,dalle,Abu Dhabi,google,9.119043111801147,20,Abu Dhabi,google,Buenos Aires,dalle,14.910395324230194,30,0.48058876872062684
Buenos Aires,google,Abu Dhabi,google,13.310515463352203,30,Abu Dhabi,google,Buenos Aires,google,13.812833309173584,30,0.4520558128754298
Busan,dalle,Abu Dhabi,google,8.302803754806519,20,Abu Dhabi,google,Busan,dalle,13.45794340968132,30,0.4352149432897568
Busan,google,Abu Dhabi,google,12.879718899726868,30,Abu Dhabi,google,Busan,google,13.383985817432404,30,0.4377284119526545
Cairo,dalle,Abu Dhabi,google,8.298511266708374,20,Abu Dhabi,google,Cairo,dalle,13.282723098993301,30,0.43162468731403353
Cairo,google,Abu Dhabi,google,14.068039238452911,32,Abu Dhabi,google,Cairo,google,13.919628143310547,30,0.4514139900284429
Caracas,dalle,Abu Dhabi,google,7.902159214019775,20,Abu Dhabi,google,Caracas,dalle,12.813851833343506,30,0.4143202209472656
Caracas,google,Abu Dhabi,google,13.195531249046326,30,Abu Dhabi,google,Caracas,google,12.896291643381119,30,0.4348637148737907
Chicago,dalle,Abu Dhabi,google,8.811485141515732,20,Abu Dhabi,google,Chicago,dalle,14.405494570732117,30,0.46433959424495697
Chicago,google,Abu Dhabi,google,13.545368671417236,30,Abu Dhabi,google,Chicago,google,13.247919291257858,30,0.44655479937791825
Copenhagen,dalle,Abu Dhabi,google,8.833990067243576,20,Abu Dhabi,google,Copenhagen,dalle,13.876549780368805,30,0.45421079695224764
Copenhagen,google,Abu Dhabi,google,12.405009686946869,30,Abu Dhabi,google,Copenhagen,google,13.153478980064392,30,0.42597481111685437
Delhi,dalle,Abu Dhabi,google,8.858530104160309,20,Abu Dhabi,google,Delhi,dalle,14.403037130832672,30,0.4652313446998596
Delhi,google,Abu Dhabi,google,12.923411279916763,30,Abu Dhabi,google,Delhi,google,13.130310356616974,30,0.43422869394222896
Dubai,dalle,Abu Dhabi,google,7.9367382526397705,20,Abu Dhabi,google,Dubai,dalle,13.843317121267319,30,0.4356011074781418
Dubai,google,Abu Dhabi,google,12.874281495809555,30,Abu Dhabi,google,Dubai,google,13.627808004617691,30,0.4417014916737874
Dublin,dalle,Abu Dhabi,google,8.84530782699585,20,Abu Dhabi,google,Dublin,dalle,14.70331808924675,30,0.470972518324852
Dublin,google,Abu Dhabi,google,12.987066268920898,30,Abu Dhabi,google,Dublin,google,13.412064403295517,30,0.4399855112036069
Helsinki,dalle,Abu Dhabi,google,8.534219563007355,20,Abu Dhabi,google,Helsinki,dalle,14.363047927618027,30,0.4579453498125076
Helsinki,google,Abu Dhabi,google,12.62018033862114,30,Abu Dhabi,google,Helsinki,google,12.938199818134308,30,0.4259730026125908
Ho Chi Minh City,dalle,Abu Dhabi,google,8.328557044267654,20,Abu Dhabi,google,Ho Chi Minh City,dalle,13.339519679546356,30,0.43336153447628023
Ho Chi Minh City,google,Abu Dhabi,google,14.365784257650375,32,Abu Dhabi,google,Ho Chi Minh City,google,13.946151942014694,30,0.4566441322526624
Hong Kong,dalle,Abu Dhabi,google,8.951027512550354,20,Abu Dhabi,google,Hong Kong,dalle,14.872059762477875,30,0.4764617455005646
Hong Kong,google,Abu Dhabi,google,13.38815850019455,30,Abu Dhabi,google,Hong Kong,google,14.17025277018547,30,0.4593068545063337
Istanbul,dalle,Abu Dhabi,google,8.643033295869827,20,Abu Dhabi,google,Istanbul,dalle,14.196684181690216,30,0.45679434955120085
Istanbul,google,Abu Dhabi,google,12.783681362867355,30,Abu Dhabi,google,Istanbul,google,13.11017906665802,30,0.4315643404920896
Jakarta,dalle,Abu Dhabi,google,8.753655523061752,20,Abu Dhabi,google,Jakarta,dalle,13.85683161020279,30,0.45220974266529085
Jakarta,google,Abu Dhabi,google,13.241595715284348,30,Abu Dhabi,google,Jakarta,google,13.139549940824509,30,0.4396857609351476
Johannesburg,dalle,Abu Dhabi,google,7.353312194347382,20,Abu Dhabi,google,Johannesburg,dalle,12.990611165761948,30,0.40687846720218657
Johannesburg,google,Abu Dhabi,google,12.844278573989868,30,Abu Dhabi,google,Johannesburg,google,13.063364207744598,30,0.4317940463622411
Kobe,dalle,Abu Dhabi,google,8.56530112028122,20,Abu Dhabi,google,Kobe,dalle,14.03398922085762,30,0.4519858068227768
Kobe,google,Abu Dhabi,google,12.848661839962006,30,Abu Dhabi,google,Kobe,google,13.017866253852844,30,0.43110880156358083
Kyoto,dalle,Abu Dhabi,google,8.79826083779335,20,Abu Dhabi,google,Kyoto,dalle,15.058293014764786,30,0.4771310770511627
Kyoto,google,Abu Dhabi,google,13.502255529165268,30,Abu Dhabi,google,Kyoto,google,13.980224967002869,30,0.4580413416028023
Lagos,dalle,Abu Dhabi,google,8.009012937545776,20,Abu Dhabi,google,Lagos,dalle,13.7835154235363,30,0.43585056722164156
Lagos,google,Abu Dhabi,google,13.31478527188301,30,Abu Dhabi,google,Lagos,google,12.87278601527214,30,0.4364595214525859
Lisbon,dalle,Abu Dhabi,google,8.857260942459106,20,Abu Dhabi,google,Lisbon,dalle,14.358094155788422,30,0.46430710196495056
